Publication number,Title,Publication date,Inventors,country_name,Title_language,country_code,Applicants,Family number,ABSTRACT
CN101481675A  CN101481675B,"Anti-swine fever multi-epitope DNA vaccine, construction method and use",2009-07-15  2011-09-14,ZISHU PAN [CN]  CHAO WAN [CN]  CHUYU ZHANG [CN]  ZISHU PAN  CHAO WAN  CHUYU ZHANG,China,en,CN,UNIV WUHAN [CN]  UNIV WUHAN,40878965,antiswine fever multiepitope dna vaccine construction method use
CN117264075A,Porcine epidemic diarrhea virus multi-epitope fusion protein as well as preparation method and application thereof,22/12/2023,HE PINGLI  YANG LUQING  YANG YUANHE  WEN YANG  LIU ANGUO  HE ZHIWEI  LEI SIQI,China,en,CN,UNIV CHINA AGRICULTURAL,89209296,porcine epidemic diarrhea virus multiepitope fusion protein well preparation method application thereof
JPH06121681A  JPH0691818B2,PRODUCTION OF NEOPULLULANASE BY TRANSFORMED BACILLUS SUBTILIS,1994-05-06  1994-11-16,OKADA SHIGETAKA  IMANAKA TADAYUKI  KURIKI TAKASHI,Japan,de,JP,EZAKI GLICO CO,26426766,production neopullulanase transformed bacillus subtilis
CN113774081A  CN113774081B,Gene editing vector and gene editing method and application thereof,2021-12-10  2023-12-05,XU KAI  ZHANG WANG  ZHI HAIJIAN,China,en,CN,UNIV NANJING,78835716,gene editing vector gene editing method application thereof
CN110559434A  CN110559434B,Avian influenza virus-like particle vaccine as well as preparation method and application thereof,2019-12-13  2022-08-19,TIAN KEGONG  ZHANG PANTAO  WANG TONGYAN  SUN JINZHONG  ZHANG XUKE,China,en,CN,PULIKE BIOLOGICAL ENG INC,68772556,avian influenza viruslike particle vaccine well preparation method application thereof
WO2022076756A1,"RECOMBINANT VIRUSES, SURFACE-ENGINEERED DELIVERY SYSTEMS AND RELATED METHODS",14/04/2022,ORTAC INANC [US],World Intellectual Property Organization (WIPO),de,WO,DEVACELL INC [US],81125456,recombinant viruses surfaceengineered delivery systems related methods
CN102206679A  CN102206679B,Shuttle vector of vaccinia virus and its application,2011-10-05  2013-03-13,NINGYI JIN  CHANG LI  XIAO LI  SHOUWEN DU  HUIJUN LU  MINGYAO TIAN  TANGSHI JIN  YUHANG WANG  JIN NINGYI  LI CHANG  LI XIAO  DU SHOUWEN  LU HUIJUN  TIAN MINGYAO  JIN TANGSHI  WANG YUHANG,China,en,CN,INST OF VETERINARY THE ACADEMY OF MILITARY MEDICAL SCIENCES,44695739,shuttle vector vaccinia virus application
CN107663525A,Establishment method and application of hepatitis B virus (HBV) chronic mice model,06/02/2018,XIE YOUHUA  LIU JING  SHEN ZHONGLIANG  YANG HUIJUAN  PAN SHAOKUN,China,en,CN,UNIV FUDAN,61115642,establishment method application hepatitis b virus hbv chronic mice model
CN101870733A  CN101870733B,Poultry IL-2 and newcastle disease virus HN gene recombination fusion protein and application thereof,2010-10-27  2013-02-06,XIANGCHAO CHENG  KE DING  YINJU LI  YICHEN LIU  CHEN WANG  TINGCAI WU  ZUHUA YU  CHUNJIE ZHANG  ZHANQIN ZHAO  CHENG XIANGCHAO  DING KE  LI YINJU  LIU YICHEN  WANG CHEN  WU TINGCAI  YU ZUHUA  ZHANG CHUNJIE  ZHAO ZHANQIN,China,en,CN,UNIV HENAN SCIENCE & TECH,42995830,poultry il newcastle disease virus hn gene recombination fusion protein application thereof
CN113827716A,"Canine distemper virus attenuated strain, vaccine composition prepared from canine distemper virus attenuated strain and application of vaccine composition",24/12/2021,TIAN KEGONG  LIU YUXIU  ZHANG XUKE,China,en,CN,PULIKE BIOLOGICAL ENG INC,78964261,canine distemper virus attenuated strain vaccine composition prepared canine distemper virus attenuated strain application vaccine composition
WO2018170147A1,GENOME-WIDE IDENTIFICATION OF IMMUNE EVASION FUNCTIONS IN A VIRUS,20/09/2018,DU YUSHEN [US]  WU NICHOLAS C [US]  SUN REN [US],World Intellectual Property Organization (WIPO),en,WO,UNIV CALIFORNIA [US],63523659,genomewide identification immune evasion functions virus
EP0781779A2  EP0781779A3  EP0781779B1,Nonantigenic stabilizer and physiologically active substance,1997-07-02  1999-04-07  2006-03-01,SAKAI YASUO [JP]  KUTSUZAWA RUMIKO [JP]  ONUMA MASAMICHI [JP],European Patent Office (EPO),en,EP,MIYAGI KAGAKU KOGYO KABUSHIKI [JP]  JELLICE CO LTD [JP],18427350,nonantigenic stabilizer physiologically active substance
CN111394389A,"Seneca virus infectious clone based on single plasmid rescue system, construction method and application",10/07/2020,ZHENG HAIXUE  YANG FAN  ZHU ZIXIANG  CAO WEIJUN  TIAN HONG  ZHANG KESHAN  WEI TING  ZHANG WEI  ZHENG MIN  DANG WEN  MA XUSHENG  LI DAN  RU YI  HE JIJUN  GUO JIANHONG  LIU XIANGTAO,China,en,CN,LANZHOU VETERINARY RES INST CAAS,71427463,seneca virus infectious clone based single plasmid rescue system construction method application
RU2190017C2,RECOMBINANT PLASMID DNA P7SHSHIS FOR PRODUCTION OF DIMERIC SINGLE-STRANDED ANTIBODY AGAINST TICK-BORNE ENCEPHALITIS VIRUS AND STRAIN OF ESCHERICHIA COLI AS PRODUCER OF DIMERIC FORM OF SINGLE-STRANDED ANTIBODY AGAINST TICK-BORNE ENCEPHALITIS VIRUS,27/09/2002,NIKOLENKO G N  TIKUNOVA N V  PROTOPOVA E V  LOKTEV V B  KARPENKO L I  KONOVALOVA S N  IL ICHEV A A,Russia,de,RU,G NTS VIRUSOLOGII I BIOT  EKHNOLOGII VEKTOR,20236902,recombinant plasmid dna pshshis production dimeric singlestranded antibody tickborne encephalitis virus strain escherichia coli producer dimeric form singlestranded antibody tickborne encephalitis virus
CN115011601A  CN115011601B,"ShRNA for interfering JUND expression, recombinant adeno-associated virus vector and application thereof",2022-09-06  2023-07-21,SUN YU  SUN YUJING  LIN PENG,China,en,CN,QILU HOSPITAL SHANDONG UNIV,83076115,shrna interfering jund expression recombinant adenoassociated virus vector application thereof
EP0953642A1  EP0953642A4  EP0953642B1,ANTIGENIC PROTEIN ORIGINATING IN INFECTIOUS LARYNGOTRACHEITIS VIRUS,1999-11-03  2001-09-05  2005-12-28,TSUZAKI YOSHINARI [JP]  OKUDA TAKASHI [JP],European Patent Office (EPO),de,EP,NIPPON ZEON CO [JP],17032328,antigenic protein originating infectious laryngotracheitis virus
RU2002124622A  RU2280075C2,ALTERNATED STRAIN OF MODIFIED VACCINIA VIRUS ANKARA (MVA),2004-03-27  2006-07-20,MAYR ANTON [DE],Russia,de,RU,BAVARIAN NORDIK AS [DK],8159327,alternated strain modified vaccinia virus ankara mva
EP2370584A1  EP2370584B1,Use of microRNAs to control virus helper nucleic acids,2011-10-05  2014-11-05,COFFIELD III VERNON MCNEIL [US]  KAMRUD KURT I [US]  SMITH JONATHAN F [US],European Patent Office (EPO),en,EP,ALPHAVAX INC [US],41697774,use micrornas control virus helper nucleic acids
CN114015660A  CN114015660B,Construction of attenuated African swine fever virus strain without ten genes and application of attenuated African swine fever virus strain as vaccine,2022-02-08  2023-05-05,ZHENG HAIXUE  FENG TAO  MA ZHAO  LIU HUANAN  LI PAN  SHI ZHENGWANG  SHEN CHAOCHAO  WU PANXUE  QI XIAOLAN  ZHANG KESHAN  LI DAN  DANG WEN  YANG BO  WANG QI  CAO LIYAN  ZHU ZIXIANG  TIAN HONG  GUO JIANHONG  LIU XIANGTAO,China,en,CN,LANZHOU VETERINARY RES INST CAAS,80063693,construction attenuated african swine fever virus strain without ten genes application attenuated african swine fever virus strain vaccine
CN117187197A,Recombinant influenza B virus as well as preparation method and application thereof,08/12/2023,PAN WEIQI  YANG ZIFENG  GAO YU  YANG CHUNGUANG,China,en,CN,THE FIRST AFFILIATED HOSPITAL OF GUANGZHOU MEDICAL UNIV GUANGZHOU RESPIRATORY CENTER  UNIV MACAU SCI & TECH,88989588,recombinant influenza b virus well preparation method application thereof
CN106868025A  CN106868025B,Method used for preparing trimer Ebola virus glycoprotein mutant using yeast,2017-06-20  2020-01-21,WU JUN  WU MUSHENG  LIU BO,China,en,CN,INST OF BIOENGINEERING THE ACAD OF MILITARY MEDICAL SCIENCES,59170279,method used preparing trimer ebola virus glycoprotein mutant using yeast
CN214639040U,Medical mask recycling device suitable for engineering site,09/11/2021,CHAI YUPING  CHEN JUNFENG  ZHANG MIAO  WANG HUALI  JI LEI  MI HUADONG  HUANG YUZHONG  YANG QIAO,China,en,CN,CHEN JUNLI,78448878,medical mask recycling device suitable engineering site
EP2338508A1  EP2338508B1,"A rDEN3/4delta 30(ME), rDEN2/4delta30(ME) or rDEN1/4delta30(ME) recombinant chimeric dengue virus containing a 30 nucleotide deletion (delta30) in a section of the 3' untranslated region of dengue type 4 genome, wherein said 30 nucleotide deletion corresponds to the TL2 stem-loop structure",2011-06-29  2018-02-14,WHITEHEAD STEPHEN S [US]  MURPHY BRIAN R [US]  MARKOFF LEWIS [US]  FALGOUT BARRY [US]  BLANEY JOSEPH [US]  HANLEY KATHRYN [US]  LAI CHING-JUH [US],European Patent Office (EPO),en,EP,US GOV HEALTH & HUMAN SERV [US]  THE GOVERNMENT OF THE US SECRETARY DEPARTMENT OF HEALTH AND HUMAN SERVICES [US],29406814,rdendelta rdendeltame rdendeltame recombinant chimeric dengue virus containing nucleotide deletion delta section untranslated region dengue type genome wherein said nucleotide deletion corresponds tl stemloop structure
EP2906260A1  EP2906260A4  EP2906260B1,ROD-SHAPED PLANT VIRUS NANOPARTICLES AS IMAGING AGENT PLATFORMS,2015-08-19  2016-05-18  2019-06-26,STEINMETZ NICOLE [US]  BRUCKMAN MICHAEL [US],European Patent Office (EPO),de,EP,UNIV CASE WESTERN RESERVE [US],50477856,rodshaped plant virus nanoparticles imaging agent platforms
CN1792170A,"Micro-capsule suspension contg. bacillus thuringiensis, and its prepn. method",28/06/2006,YAN JIANPING ZHANG [CN],China,en,CN,WUHAN VIRUS RES INST CHINESE A [CN],36803970,microcapsule suspension contg bacillus thuringiensis prepn method
EP0302758A1  EP0302758B1,Viral expression inhibitors.,1989-02-08  1994-03-16,ANDROPHY ELLIOT J [US]  LOWY DOUGLAS R [US]  SCHILLER JOHN T [US],European Patent Office (EPO),en,EP,NEW ENGLAND MEDICAL CENTER INC [US],22180594,viral expression inhibitors
CN116024230A,Application of tomato SlCab12 gene in enhancing disease resistance to tomato chlorosis virus,28/04/2023,SHI XIAOBIN  LE HAO  LIU YONG  ZHANG DEYONG  ZHANG ZHANHONG  ZHANG ZHUO  PENG JING  GAO YANG  ZHANG SONGBAI  CHEN JIANBIN,China,en,CN,HUNAN PLANT PROT INSTITUTE,86071414,application tomato slcab gene enhancing disease resistance tomato chlorosis virus
CN1206356C  CN1337463A,Breeding of hepatitis A virus Chinese strain and attenuated strain and its complementary DNA sequence,2002-02-27  2005-06-15,MAO JIANGSEN [CN]  CHEN YONG [CN]  CHAI SHAO'AI [CN],China,en,CN,ZHEJIANG PUKANJG BIOTECHNOLOGY [CN]  ZHEJIANG PUKANGJG BIOTECHNOLOG [CN],4675920,breeding hepatitis virus chinese strain attenuated strain complementary dna sequence
WO2009053700A1,MODIFICATION OF NUCLEIC ACID-CONTAINING BIOLOGICAL ENTITIES,30/04/2009,SEYMOUR LEONARD WILLIAM [GB]  FISHER KERRY [GB]  BRIGGS SIMON STEPHEN [GB],World Intellectual Property Organization (WIPO),de,WO,CANCER REC TECH LTD [GB]  SEYMOUR LEONARD WILLIAM [GB]  FISHER KERRY [GB]  BRIGGS SIMON STEPHEN [GB],40328274,modification nucleic acidcontaining biological entities
CN1769433A  CN1769433B,Recombinant vesicular stomatitis virus and its uses,2006-05-10  2011-03-16,ZHANG QINGYONG [CN]  QINGYONG ZHANG,China,en,CN,ZHANG QINGYONG [CN]  QINGYONG ZHANG,36750978,recombinant vesicular stomatitis virus uses
CN1468861A,Recombinant human immune deficiency virus fusion inhibitor and its prepn and use,21/01/2004,TANG SHENBAI [CN]  LU WEICHUAN [CN]  DONG AIHUA [CN],China,en,CN,NORTH CHINA PHARMACEUTICAL GROUP [CN],34146293,recombinant human immune deficiency virus fusion inhibitor prepn use
CN116007112A,Virus real-time detection and disinfection device,25/04/2023,CHAN STEVEN NAI-KIN,China,en,CN,GREEN SOURCE ENGINEERING CONSULTANTS LTD,86028840,virus realtime detection disinfection device
CN112048445A,Hansenula polymorpha recombinant COVID-19 virus-like envelope particle vaccine cell strain,08/12/2020,YANG JUN  LI JIAN  HAN JIANXIU  WANG HEMU,China,fr,CN,TIANJIN HEMUJIANMIN BIOTECHNOLOGY CO LTD,73610809,hansenula polymorpha recombinant covid viruslike envelope particle vaccine cell strain
CN101926991A,Classical swine fever virus vaccine and production method thereof,29/12/2010,XUKE ZHANG  JINZHONG SUN  RONGCEN QIAO,China,en,CN,LUOYANG PU LIKE BIO ENGINEERING CO LTD,42593321,classical swine fever virus vaccine production method thereof
CN102108336A,"Recombinant adenovirus vaccine containing EB (Epstein-Barr) virus membrane protein gp350/220, gp85, gp78 or gp25 gene",29/06/2011,YIXIN ZENG  XIAOBIN LU  GENG XIONG  YANBO XIE,China,nl,CN,UNIV SUN YAT SEN CANCER CT,44172620,recombinant adenovirus vaccine containing eb epsteinbarr virus membrane protein gp gp gp gp gene
CN102965388A,Preparation method of gene engineering bacterium for expressing swine transmissible gastroenteritis virus,13/03/2013,LI CHAOYANG  LI MINGYI  SHI QIAO,China,en,CN,SHANDONG SINDER TECHNOLOGY CO LTD,47795824,preparation method gene engineering bacterium expressing swine transmissible gastroenteritis virus
CN110698542A  CN110698542B,"Artificially modified PCV2 (Porcine Circovirus 2) Rep' protein, ELISA assay kit and application thereof",2020-01-17  2022-03-22,RONG JUN  CHEN QINGQING  XU BAOJUAN  LI GUOPAN  CAI LIANSHEN  KUANG HONGYAN,China,en,CN,UNIV YANGTZE  QINGDAO YEBIO BIOENGINEERING CO LTD,69196096,artificially modified pcv porcine circovirus rep protein elisa assay kit application thereof
CN102888383A  CN102888383B,Recombinant porcine pseudorabies virus TK/gE double-gene deletion strain,2013-01-23  2015-03-18,SHAO DINGYONG  HUANG HONGLIANG  CHEN RUIAI  HAN JINGFANG  TANG ZHAOXIN  XIE XIAOYU  REN CHANGBAO  LIANG GUIYI,China,fr,CN,ZHAOQING DAHUANONG BIOLOG PHARMACEUTICAL CO LTD  GUANGDONG DAHUANONG ANIMAL HEALTH PRODUCTS CO LTD,47532067,recombinant porcine pseudorabies virus tkge doublegene deletion strain
CN107281479A  CN107281479B,"Gene VII type Newcastle disease virus attenuated strain, vaccine composition and application of vaccine composition",2017-10-24  2020-12-01,TIAN KEGONG  LIU WUJIE  SUN JINZHONG  ZHANG XUKE,China,en,CN,PULIKE BIOLOGICAL ENG INC,60087801,gene vii type newcastle disease virus attenuated strain vaccine composition application vaccine composition
CN107870576A,Engineering simulator applied to flight simulation,03/04/2018,XUE LINGDE,China,en,CN,SICHUAN HANKE COMPUTER INFORMATION TECH CO LTD,61755747,engineering simulator applied flight simulation
JP2957195B2  JPH02302669A,METHOD FOR DETECTING HEPATITIS B VIRUS ANTIBODY,1990-12-14  1999-10-04,SUZUKI TAKASHI  NAITO MASAHIRO  ODA MUNEHIRO,Japan,de,JP,SHINO TEST CORP  MEIJI MILK PROD CO LTD,14814685,method detecting hepatitis b virus antibody
CN108611359A  CN108611359B,Preparation method and application of porcine circovirus type 3 virus-like particles,2018-10-02  2021-11-19,CHEN BO  JIN MEILIN  DOU QING  XU GAOYUAN,China,en,CN,WUHAN KEQIAN BIOLOGICAL CO LTD,63661729,preparation method application porcine circovirus type viruslike particles
WO2022000374A1,COVID-19 VIRUS INHIBITOR,06/01/2022,XU YIBING [CN]  SHOU XIN [CN]  ZHU ZHENFANG [CN],World Intellectual Property Organization (WIPO),de,WO,SHANGHAI JIAKANG BIOLOGICAL ENG CO LTD [CN],79317723,covid virus inhibitor
CN102382831A  CN102382831B,shRNA for inhibiting Japanese encephalitis virus replication and infection and application thereof,2012-03-21  2012-10-17,TING SHEN  PUYAN CHEN  KE LIU  RUIBING CAO  BIN ZHOU,China,en,CN,UNIV NANJING AGRICULTURAL,45822662,shrna inhibiting japanese encephalitis virus replication infection application thereof
CN101967184A,"Prokaryotic expressed protein of coat protein gene of cymbidium mosaic virus, preparation method and application thereof",09/02/2011,YING XU  NONGNONG SHI  KEFU YANG  YU CHEN,China,en,CN,UNIV HANGZHOU NORMAL,43546417,prokaryotic expressed protein coat protein gene cymbidium mosaic virus preparation method application thereof
JPH1142089A,INTERFERON TAU 3 VARIANT,16/02/1999,ISHIMURA MASAKO  NISHIGAKI TAKASHI,Japan,vi,JP,SANKYO CO,16469035,interferon tau variant
CN116751779A,Anti-dengue virus nucleic acid target spot effectively based on antisense oligonucleotide and application of anti-dengue virus nucleic acid target spot,15/09/2023,SUN YANSONG  LI HAO  HAN YAO  YI WENBO,China,en,CN,INST MILITARY MEDICINE ACADEMY MILITARY SCIENCES PLA,87958223,antidengue virus nucleic acid target spot effectively based antisense oligonucleotide application antidengue virus nucleic acid target spot
CN111235114A  CN111235114B,EV71 (enterovirus 71) replication defective virus as well as preparation method and application thereof,2020-06-05  2023-10-17,JIANG ZAIXUE  TIAN XINGUI,China,en,CN,DONGGUAN EIGHTH PEOPLES HOSPITAL DONGGUAN CHILDRENS HOSPITAL  DONGGUAN PAEDIATRICS INST,70876408,ev enterovirus replication defective virus well preparation method application thereof
CN116855538A,"Preparation method of cell line for replication-defective recombinant virus amplification, defective virus and application of defective virus",10/10/2023,ZHANG XI  XIAO ZHE,China,en,CN,MELTON SHENZHEN BIOMEDICAL TECH CO LTD,88223043,preparation method cell line replicationdefective recombinant virus amplification defective virus application defective virus
WO2017195063A1,OLIGONUCLEOTIDES AND PROCESS FOR DETECTING H1N1 INFLUENZA A VIRUS,16/11/2017,GONZÁLEZ BARRIOS JUAN ANTONIO [MX]  THOMPSON BONILLA MARÍA DEL ROCIO [MX]  MARTÍNEZ PÉREZ FRANCISCO JOSÉ [CO]  BARRIOS HERNÁNDEZ CARLOS JAIME [CO]  BAUTISTA ROSO LOLA XIOMARA [CO]  RODRÍGUEZ VÁZQUEZ REFUGIO [MX]  MARTÍNEZ FONG DANIEL [MX],World Intellectual Property Organization (WIPO),de,WO,INST DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO [MX]  UNIV INDUSTRIAL DE SANTANDER [CO]  CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITÉCNICO NAC [MX],60266442,oligonucleotides process detecting hn influenza virus
WO8203632A1,cDNA REPRESENTING RNA VIRAL SEQUENCES,28/10/1982,BALTIMORE DAVID [US]  RACANIELLO VINCENT R [US],World Intellectual Property Organization (WIPO),ro,WO,MASSACHUSETTS INST TECHNOLOGY [US],26945024,cdna representing rna viral sequences
RU2180115C2,METHOD TO REVEAL AUJESZKY'S DISEASE VIRUS IN FARM ANIMALS,27/02/2002,GLOTOV A G  ORESHKOVA S F  KUVSHINOV V N  IL ICHEV A A,Russia,de,RU,INST EHKSPERIMENTAL NOJ VETERI  AL NEGO VOSTOKA SO RASKHN  G NTS VIRUSOLOGII I BIOTEKHNOL,20234302,method reveal aujeszkys disease virus farm animals
EP0357709A1  EP0357709B1,PRESERVATION OF VIRUSES.,1990-03-14  1993-09-29,ROSER BRUCE JOSEPH,European Patent Office (EPO),de,EP,QUADRANT BIORESOURCES LTD [GB],10630314,preservation viruses
WO2006009620A1,METHOD AND APPARATUS FOR MANAGING COMPUTER VIRUS OUTBREAKS,26/01/2006,OLIVIER MICHAEL [US]  SPROSTS CRAIG [US]  KENNEDY SCOT [US]  QUINLAN DANIEL [US]  ROSENSTEIN LARRY [US]  TAYLOR CRAIG [US],World Intellectual Property Organization (WIPO),de,WO,IRONPORT SYSTEMS INC [US]  OLIVIER MICHAEL [US]  SPROSTS CRAIG [US]  KENNEDY SCOT [US]  QUINLAN DANIEL [US]  ROSENSTEIN LARRY [US]  TAYLOR CRAIG [US],35482076,method apparatus managing computer virus outbreaks
EP0607425A1  EP0607425B1,EPSTEIN-BARR VIRUS PEPTIDES AND ANTIBODIES AGAINST THESE PEPTIDES.,1994-07-27  2004-05-12,MIDDELDORP JAAP MICHIEL [NL],European Patent Office (EPO),de,EP,AKZO NOBEL NV [NL]  BIOMERIEUX BV [NL],8210912,epsteinbarr virus peptides antibodies peptides
EP1685254A2  EP1685254B1,ONCOLYTIC HERPES SIMPLEX VIRUS ENCODING A HETEROLOGOUS NITROREDUCTASE,2006-08-02  2009-06-10,BROWN SUSANNE MOIRA [GB]  DUNN PAUL [GB],European Patent Office (EPO),de,EP,CRUSADE LAB LTD [GB],29763982,oncolytic herpes simplex virus encoding heterologous nitroreductase
EP0417531A1,Process for production of biological materials in cell cultures and devices.,20/03/1991,STEINER ULRICH DR [DE]  SEIFERT HORST PROF DR [DE]  BOEHNEL HELGE DR [DE]  ROTH FRAUKE DR [DE],European Patent Office (EPO),en,EP,BAYER AG [DE],6389075,process production biological materials cell cultures devices
US2023346912A1,RESTRICTIVE EPITOPE PEPTIDE OF MAJOR HISTOCOMPATIBILITY COMPLEX B2 OF H9N2 SUBTYPE AVIAN INFLUENZA VIRUS AND APPLICATION THEREOF,02/11/2023,LIAO MING [CN]  DAI MANMAN [CN]  JIA YUSHENG [CN],United States of America,de,US,UNIV SOUTH CHINA AGRICULT [CN],82568188,restrictive epitope peptide major histocompatibility complex b hn subtype avian influenza virus application thereof
CN101705233A  CN101705233B,Recombinant human herpes simplex virus I protein HSV I gG and application thereof,2010-05-12  2011-09-21,HONG BAO  JING CHANG  YIHANG GAO  XIUMIN LIU  CHUNYAN TENG  XIA XIAO  TING YU  YANHUI YU,China,en,CN,UNIV JILIN,42375488,recombinant human herpes simplex virus protein hsv gg application thereof
CN101721698A  CN101721698B,Foot-and-mouth disease resistant vaccine composition and preparation and application thereof,2010-06-09  2014-04-02,YU WANG  WANG YU,China,en,CN,RUILIAN AGRICULTURE & ANIMAL H  PHAROS VACCINE INC,42118967,footandmouth disease resistant vaccine composition preparation application thereof
CN113827713A,Vaccine composition for resisting H7 subtype avian influenza virus as well as preparation method and application of vaccine composition,24/12/2021,TIAN KEGONG  WANG TONGYAN  ZHANG PANTAO  ZHANG XUKE,China,en,CN,PULIKE BIOLOGICAL ENG INC,78964291,vaccine composition resisting h subtype avian influenza virus well preparation method application vaccine composition
EP3262411A2  EP3262411A4  EP3262411B1,ANTIBODY-MEDIATED NEUTRALIZATION OF MARBURG VIRUS,2018-01-03  2018-11-14  2022-04-06,CROWE JAMES E [US]  FLYAK ANDREW I [US]  BUKREYEV ALEXANDER [US]  ILINYKH PHILIPP [US],European Patent Office (EPO),de,EP,UNIV VANDERBILT [US]  UNIV TEXAS [US],56789363,antibodymediated neutralization marburg virus
EP1416049A1,METHOD OF INTERFERING WITH A VIRUS INFECTION IN PLANTS,06/05/2004,TENLLADO PERALO FRANCISCO [ES]  DIAZ RUIZ JOSE RAMON [ES],European Patent Office (EPO),de,EP,CONSEJO SUPERIOR INVESTIGACION [ES],8498334,method interfering virus infection plants
CN1324049C  CN1513874A,Human source anti SARS coronavirus gene engineering antibody,2004-07-21  2007-07-04,LIANG MIFANG [CN]  LI DEXIN [CN]  DU RUNLEI [CN]  LIANG MIFANG LI [CN],China,en,CN,VIRAL DISEASE PREVENTION AND C [CN],34240514,human source anti sars coronavirus gene engineering antibody
WO2020108428A1,"RECOMBINANT HUMAN ANTIVIRAL CYTOKINE AND PREPARATION METHOD THEREFOR, COMPOSITION THEREOF AND USE THEREOF",04/06/2020,HOU YUNDE [CN]  ZHANG LI [CN]  SONG YULI [CN]  TANG XUDONG [CN]  ZHANG JIAYING [CN],World Intellectual Property Organization (WIPO),en,WO,SHENZHEN LIYUNDE BIOTECHNOLOGY CO LTD [CN],70853812,recombinant human antiviral cytokine preparation method therefor composition thereof use thereof
CN117487799A,Use of virus-like recombinant protein biosomes in prevention or treatment of lesions in acidic environments,02/02/2024,LYU WANLIANG  BAO CHUNJIE  DUAN JIALUN,China,en,CN,UNIV BEIJING,89675059,use viruslike recombinant protein biosomes prevention treatment lesions acidic environments
CN1410537A,Production method of freeze dried human zymoplasm,16/04/2003,AN KANG [CN]  MA XIAOWEI [CN]  PAN RUOWEN [CN],China,en,CN,HUALAN BIOLOG ENGINEERING CO L [CN],4744355,production method freeze dried human zymoplasm
CN103045545A  CN103045545B,"Encephalitis virus protein, and coding gene and application thereof",2013-04-17  2015-02-11,CHANG GUOHUI  LIN LEI  WU XIAOYAN  HU YI  ZHANG YU  LIU HONGTAO  LI JING  LUO YANJUN  SUN WEI  KANG XIAOPING  YANG YINHUI  ZHU QINGYU,China,en,CN,AMMS CHINA,48058410,encephalitis virus protein coding gene application thereof
CN101554490A  CN101554490B,Method for preparing blood vessel middle layer scaffold material used for biodegradable tissue engineering,2009-10-14  2012-05-23,DAIDI FAN [CN]  CHENHUI ZHU [CN]  XIAOXUAN MA [CN]  YU MI [CN]  YANE LUO [CN]  PEI MA [CN]  JUNFENG HUI [CN]  XIAOLI ZHU [CN]  WANHUA LI [CN]  LIHUA LIANG [CN]  LAN CHEN [CN]  DAIDI FAN  CHENHUI ZHU  XIAOXUAN MA  YU MI  YANE LUO  PEI MA  JUNFENG HUI  XIAOLI ZHU  WANHUA LI  LIHUA LIANG  LAN CHEN,China,en,CN,UNIV NORTHWESTERN [CN]  UNIV NORTHWESTERN,41172869,method preparing blood vessel middle layer scaffold material used biodegradable tissue engineering
WO2018176887A1,"PORCINE CIRCOVIRUS TYPE 3 STRAIN AND VACCINE COMPOSITION, PREPARATION METHOD, AND APPLICATION THEREOF",04/10/2018,TIAN KEGONG [CN]  LI XIANGDONG [CN]  XIAO YAN [CN]  SUN JINZHONG [CN]  ZHANG XUKE [CN],World Intellectual Property Organization (WIPO),vi,WO,PULIKE BIOLOGICAL ENG INC [CN],63674387,porcine circovirus type strain vaccine composition preparation method application thereof
WO9603507A1,METHOD OF ISOLATING ATTENUATED VIRUS AND VACCINE THEREOF,08/02/1996,TODD DANIEL [GB]  MCNULTY M STEWART [GB],World Intellectual Property Organization (WIPO),de,WO,MALLINCKRODT VETERINARY INC [US]  TODD DANIEL [GB]  MCNULTY M STEWART [GB],10758789,method isolating attenuated virus vaccine thereof
WO2020052551A1,"A MODIFIED ONCOLYTIC VIRUS, COMPOSITION AND USE THEREOF",19/03/2020,CEN YI [CN],World Intellectual Property Organization (WIPO),en,WO,GENESAIL BIOTECH SHANGHAI CO LTD [CN],69777117,modified oncolytic virus composition use thereof
CN1185012C  CN1449830A,DNA vaccine pVFS for SARS virus,2003-10-22  2005-01-19,SUN SHUQUAN [CN]  CHEN ZE [CN]  GUO YINGJUN [CN],China,ro,CN,NO 2 MILITARY MEDICAL UNIV OF [CN],28684482,dna vaccine pvfs sars virus
CN116875634A,Method for constructing PRRS (porcine reproductive and respiratory syndrome) chimeric virus and vaccine strain based on replacement of nsp2 gene and application of PRRS chimeric virus and vaccine strain,13/10/2023,HAN JUN  KONG CAN  GAO PENG  YANG HANCHUN  ZHANG YONGNING  ZHOU LEI  GAI XINNA  GUO XIN,China,en,CN,UNIV CHINA AGRICULTURAL,88254059,method constructing prrs porcine reproductive respiratory syndrome chimeric virus vaccine strain based replacement nsp gene application prrs chimeric virus vaccine strain
CN113461786A  CN113461786B,Avian influenza virus-like particle vaccine as well as preparation method and application thereof,2021-10-01  2022-09-13,TIAN KEGONG  WANG TONGYAN  ZHANG PANTAO  ZHANG XUKE,China,en,CN,PULIKE BIOLOGICAL ENG INC,77864988,avian influenza viruslike particle vaccine well preparation method application thereof
